ActionType,username,affectedId,affectedType,dateTime,changedFrom,changedTo
CREATED,admin1,5400b7e0-d231-435e-9fba-9edb64fecb49,PROJECT,2025-05-02T18:16:24.411122400,,
CREATED,test,3ff19cde-41c8-438d-a384-34f35896c440,PROJECT,2025-05-03T00:49:05.564783500,,
CHANGED,test,3ff19cde-41c8-438d-a384-34f35896c440,PROJECT,2025-05-03T00:51:24.304632100,prokjecy,visca barca
CHANGED,test,3ff19cde-41c8-438d-a384-34f35896c440,PROJECT,2025-05-03T00:53:38.652664200,visca barca,catalonia
ADDED,admin1,0cf892f1-fecd-469e-b172-1ab95bdaadc9,MATE,2025-05-03T00:58:27.086459500,,5400b7e0-d231-435e-9fba-9edb64fecb49
ADDED,test,832cf0ed-c322-4a47-b40c-71b3db0b22a7,MATE,2025-05-03T01:09:31.494813900,,3ff19cde-41c8-438d-a384-34f35896c440
DELETED,test,3ff19cde-41c8-438d-a384-34f35896c440,MATE,2025-05-03T01:10:09.196818900,project 3ff19cde-41c8-438d-a384-34f35896c440,
ADDED,test,832cf0ed-c322-4a47-b40c-71b3db0b22a7,PROJECT,2025-05-03T01:11:51.285234900,,3ff19cde-41c8-438d-a384-34f35896c440
ADDED,test,3ff19cde-41c8-438d-a384-34f35896c440,STATE,2025-05-03T01:25:37.605991800,,3ff19cde-41c8-438d-a384-34f35896c440
ADDED,test,3ff19cde-41c8-438d-a384-34f35896c440,STATE,2025-05-03T01:26:58.974674600,,3ff19cde-41c8-438d-a384-34f35896c440
